Gemeindename,Gemeindeschlüssel,Stand in der KWP
Taching a.See,9189150.0,Stand unbekannt
Traunreut,9189154.0,Stand unbekannt
Unterwössen,9189160.0,Stand unbekannt
Vachendorf,9189161.0,Stand unbekannt
Waging a.See,9189162.0,Stand unbekannt
Wonneberg,9189165.0,Stand unbekannt
Altenstadt (Oberbayern),9190111.0,Stand unbekannt
Antdorf,9190113.0,Stand unbekannt
Bernbeuren,9190114.0,Stand unbekannt
Böbing,9190117.0,Stand unbekannt
Burggen,9190118.0,Stand unbekannt
Eberfing,9190120.0,Stand unbekannt
Eglfing,9190121.0,Stand unbekannt
Habach,9190126.0,Stand unbekannt
Hohenfurch,9190129.0,Stand unbekannt
Hohenpeißenberg,9190130.0,Stand unbekannt
Huglfing,9190131.0,Stand unbekannt
Ingenried,9190133.0,Stand unbekannt
Oberhausen (bei Peißenberg),9190135.0,Stand unbekannt
Obersöchering,9190136.0,Stand unbekannt
Pähl,9190138.0,Stand unbekannt
Peißenberg,9190139.0,Stand unbekannt
Peiting,9190140.0,Stand unbekannt
Polling (bei Weilheim),9190142.0,Stand unbekannt
Prem,9190143.0,Stand unbekannt
Raisting,9190144.0,Stand unbekannt
Rottenbuch,9190145.0,Stand unbekannt
Schwabbruck,9190149.0,Stand unbekannt
Schwabsoien,9190151.0,Stand unbekannt
Seeshaupt,9190152.0,Stand unbekannt
Sindelsdorf,9190153.0,Stand unbekannt
Steingaden,9190154.0,Stand unbekannt
Wessobrunn,9190158.0,Stand unbekannt
Wielenbach,9190159.0,Stand unbekannt
Wildsteig,9190160.0,Stand unbekannt
Aholming,9271111.0,Stand unbekannt
Auerbach,9271113.0,Stand unbekannt
Außernzell,9271114.0,Stand unbekannt
Buchhofen,9271118.0,Stand unbekannt
Grafling,9271122.0,Stand unbekannt
Grattersdorf,9271123.0,Stand unbekannt
Hengersberg,9271125.0,Stand unbekannt
Iggensbach,9271127.0,Stand unbekannt
Künzing,9271128.0,Stand unbekannt
Metten,9271132.0,Stand unbekannt
Niederalteich,9271138.0,Stand unbekannt
Oberpöring,9271139.0,Stand unbekannt
Otzing,9271143.0,Stand unbekannt
Schaufling,9271148.0,Stand unbekannt
Schöllnach,9271149.0,Stand unbekannt
Stephansposching,9271151.0,Stand unbekannt
Wallerfing,9271152.0,Stand unbekannt
Winzer,9271153.0,Stand unbekannt
Grainet,9272121.0,Stand unbekannt
Haidmühle,9272122.0,Stand unbekannt
Hinterschmiding,9272126.0,Stand unbekannt
Hohenau,9272127.0,Stand unbekannt
Mauth,9272134.0,Stand unbekannt
Philippsreut,9272139.0,Stand unbekannt
Zenting,9272152.0,Stand unbekannt
Aiglsbach,9273113.0,Stand unbekannt
Attenhofen,9273115.0,Stand unbekannt
Biburg,9273119.0,Stand unbekannt
Essing,9273121.0,Stand unbekannt
Hausen (Niederbayern),9273125.0,Stand unbekannt
Herrngiersdorf,9273127.0,Stand unbekannt
Ihrlerstein,9273133.0,Stand unbekannt
Kirchdorf (Hallertau),9273139.0,Stand unbekannt
Painten,9273159.0,Stand unbekannt
Elsendorf,9273163.0,Stand unbekannt
Saal a.d.Donau,9273166.0,Stand unbekannt
Teugn,9273175.0,Stand unbekannt
Volkenschwand,9273178.0,Stand unbekannt
Wildenberg,9273181.0,Stand unbekannt
Adlkofen,9274111.0,Stand unbekannt
Aham,9274112.0,Stand unbekannt
Altfraunhofen,9274114.0,Stand unbekannt
Baierbach,9274118.0,Stand unbekannt
Bayerbach b.Ergoldsbach,9274119.0,Stand unbekannt
Bodenkirchen,9274120.0,Stand unbekannt
Ergoldsbach,9274127.0,Stand unbekannt
Furth,9274132.0,Stand unbekannt
Geisenhausen,9274134.0,Stand unbekannt
Gerzen,9274135.0,Stand unbekannt
Hohenthann,9274141.0,Stand unbekannt
Kröning,9274145.0,Stand unbekannt
Kumhausen,9274146.0,Stand unbekannt
Neufahrn i.NB,9274153.0,Stand unbekannt
Neufraunhofen,9274154.0,Stand unbekannt
Niederaichbach,9274156.0,Stand unbekannt
Obersüßbach,9274165.0,Stand unbekannt
Pfeffenhausen,9274172.0,Stand unbekannt
Postau,9274174.0,Stand unbekannt
Rottenburg a.d.Laaber,9274176.0,Stand unbekannt
Schalkham,9274179.0,Stand unbekannt
Tiefenbach (bei Landshut),9274182.0,Stand unbekannt
Velden (Vils),9274183.0,Stand unbekannt
Vilsheim,9274185.0,Stand unbekannt
Weihmichl,9274187.0,Stand unbekannt
Weng,9274188.0,Stand unbekannt
Wörth a.d.Isar,9274191.0,Stand unbekannt
Wurmsham,9274193.0,Stand unbekannt
Aidenbach,9275112.0,Stand unbekannt
Aldersbach,9275114.0,Stand unbekannt
Bad Füssing,9275116.0,Stand unbekannt
Beutelsbach,9275117.0,Stand unbekannt
Haarbach,9275125.0,Stand unbekannt
Hofkirchen,9275127.0,Stand unbekannt
Kirchham,9275130.0,Stand unbekannt
Kößlarn,9275131.0,Stand unbekannt
Malching,9275132.0,Stand unbekannt
Neuburg a.Inn,9275133.0,Stand unbekannt
Neuhaus a.Inn,9275134.0,Stand unbekannt
Ortenburg,9275138.0,Stand unbekannt
Rotthalmünster,9275143.0,Stand unbekannt
Ruhstorf a.d.Rott,9275145.0,Stand unbekannt
Tettenweis,9275149.0,Stand unbekannt
Tiefenbach (bei Passau),9275151.0,Stand unbekannt
Tittling,9275152.0,Stand unbekannt
Böbrach,9276118.0,Stand unbekannt
Geiersthal,9276122.0,Stand unbekannt
Kollnburg,9276128.0,Stand unbekannt
Langdorf,9276129.0,Stand unbekannt
Patersdorf,9276134.0,Stand unbekannt
Prackenbach,9276135.0,Stand unbekannt
Regen,9276138.0,Stand unbekannt
Teisnach,9276143.0,Stand unbekannt
Arnstorf,9277111.0,Stand unbekannt
Bayerbach,9277112.0,Stand unbekannt
Bad Birnbach,9277113.0,Stand unbekannt
Dietersburg,9277114.0,Stand unbekannt
Ering,9277118.0,Stand unbekannt
Falkenberg (Niederbayern),9277119.0,Stand unbekannt
Gangkofen,9277121.0,Stand unbekannt
Geratskirchen,9277122.0,Stand unbekannt
Hebertsfelden,9277124.0,Stand unbekannt
Johanniskirchen,9277126.0,Stand unbekannt
Julbach,9277127.0,Stand unbekannt
Kirchdorf a.Inn,9277128.0,Stand unbekannt
Malgersdorf,9277131.0,Stand unbekannt
Massing,9277133.0,Stand unbekannt
Mitterskirchen,9277134.0,Stand unbekannt
Postmünster,9277139.0,Stand unbekannt
Reut,9277140.0,Stand unbekannt
Rimbach (Kreis Rottal-Inn),9277141.0,Stand unbekannt
Roßbach (Niederbayern),9277142.0,Stand unbekannt
Schönau (Rottal),9277144.0,Stand unbekannt
Simbach a.Inn,9277145.0,Stand unbekannt
Stubenberg,9277147.0,Stand unbekannt
Tann,9277148.0,Stand unbekannt
Triftern,9277149.0,Stand unbekannt
Unterdietfurt,9277151.0,Stand unbekannt
Wittibreut,9277152.0,Stand unbekannt
Wurmannsquick,9277153.0,Stand unbekannt
Zeilarn,9277154.0,Stand unbekannt
Falkenfels,9278120.0,Stand unbekannt
Loitzendorf,9278147.0,Stand unbekannt
Mariaposching,9278149.0,Stand unbekannt
Niederwinkling,9278159.0,Stand unbekannt
Oberschneiding,9278167.0,Stand unbekannt
Perasdorf,9278171.0,Stand unbekannt
Rattenberg,9278178.0,Stand unbekannt
Rattiszell,9278179.0,Stand unbekannt
Stallwang,9278189.0,Stand unbekannt
Wiesenfelden,9278197.0,Stand unbekannt
Windberg,9278198.0,Stand unbekannt
Eichendorf,9279113.0,Stand unbekannt
Frontenhausen,9279115.0,Stand unbekannt
Gottfrieding,9279116.0,Stand unbekannt
Landau a.d.Isar,9279122.0,Stand unbekannt
Loiching,9279124.0,Stand unbekannt
Mamming,9279125.0,Stand unbekannt
Marklkofen,9279126.0,Stand unbekannt
Mengkofen,9279127.0,Stand unbekannt
Moosthenning,9279128.0,Stand unbekannt
Niederviehbach,9279130.0,Stand unbekannt
Pilsting,9279132.0,Stand unbekannt
Reisbach,9279134.0,Stand unbekannt
Simbach,9279135.0,Stand unbekannt
Ammerthal,9371111.0,Stand unbekannt
Ensdorf (Oberpfalz),9371120.0,Stand unbekannt
Hohenburg,9371129.0,Stand unbekannt
Kastl (Lauterachtal),9371132.0,Stand unbekannt
Königstein,9371135.0,Stand unbekannt
Schmidmühlen,9371148.0,Stand unbekannt
Ursensollen,9371154.0,Stand unbekannt
Arnschwang,9372112.0,Stand unbekannt
Arrach,9372113.0,Stand unbekannt
Blaibach,9372115.0,Stand unbekannt
Cham,9372116.0,Stand unbekannt
Chamerau,9372117.0,Stand unbekannt
Eschlkam,9372124.0,Stand unbekannt
Falkenstein (Oberpfalz,9372125.0,Stand unbekannt
Gleißenberg,9372128.0,Stand unbekannt
Grafenwiesen,9372130.0,Stand unbekannt
Hohenwarth,9372135.0,Stand unbekannt
Miltach,9372143.0,Stand unbekannt
Neukirchen b.Hl.Blut,9372144.0,Stand unbekannt
Pemfling,9372146.0,Stand unbekannt
Pösing,9372147.0,Stand unbekannt
Reichenbach (Kreis Cham),9372149.0,Stand unbekannt
Rimbach (Oberpfalz),9372151.0,Stand unbekannt
Runding,9372155.0,Stand unbekannt
Schönthal,9372157.0,Stand unbekannt
Schorndorf (Oberpfalz),9372158.0,Stand unbekannt
Stamsried,9372161.0,Stand unbekannt
Tiefenbach (Oberpfalz),9372163.0,Stand unbekannt
Traitsching,9372164.0,Stand unbekannt
Treffelstein,9372165.0,Stand unbekannt
Waffenbrunn,9372168.0,Stand unbekannt
Walderbach,9372170.0,Stand unbekannt
Waldmünchen,9372171.0,Stand unbekannt
Weiding (Kreis Cham),9372174.0,Stand unbekannt
Willmering,9372175.0,Stand unbekannt
Zandt,9372177.0,Stand unbekannt
Lohberg,9372178.0,Stand unbekannt
Berngau,9373114.0,Stand unbekannt
Deining,9373119.0,Stand unbekannt
Dietfurt a.d.Altmühl,9373121.0,Stand unbekannt
Freystadt,9373126.0,Stand unbekannt
Hohenfels (Oberpfalz),9373134.0,Stand unbekannt
Lauterhofen,9373140.0,Stand unbekannt
Lupburg,9373143.0,Stand unbekannt
Mühlhausen (Oberpfalz),9373146.0,Stand unbekannt
Parsberg,9373151.0,Stand unbekannt
Pilsach,9373153.0,Stand unbekannt
Sengenthal,9373159.0,Stand unbekannt
Seubersdorf i.d.OPf.,9373160.0,Stand unbekannt
Velburg,9373167.0,Stand unbekannt
Altenstadt a.d.Waldnaab,9374111.0,Stand unbekannt
Eslarn,9374118.0,Stand unbekannt
Floß,9374121.0,Stand unbekannt
Georgenberg,9374123.0,Stand unbekannt
Irchenrieth,9374127.0,Stand unbekannt
Kirchendemenreuth,9374128.0,Stand unbekannt
Kirchenthumbach,9374129.0,Stand unbekannt
Leuchtenberg,9374132.0,Stand unbekannt
Luhe-Wildenau,9374133.0,Stand unbekannt
Mantel,9374134.0,Stand unbekannt
Moosbach,9374137.0,Stand unbekannt
Neustadt am Kulm,9374140.0,Stand unbekannt
Parkstein,9374144.0,Stand unbekannt
Pirk,9374146.0,Stand unbekannt
Pleystein,9374147.0,Stand unbekannt
Trabitz,9374148.0,Stand unbekannt
Püchersreuth,9374150.0,Stand unbekannt
Schirmitz,9374154.0,Stand unbekannt
Schlammersdorf,9374155.0,Stand unbekannt
Störnstein,9374158.0,Stand unbekannt
Tännesberg,9374159.0,Stand unbekannt
Theisseil,9374160.0,Stand unbekannt
Vorbach,9374163.0,Stand unbekannt
Waldthurn,9374165.0,Stand unbekannt
Windischeschenbach,9374168.0,Stand unbekannt
Bechtsrieth,9374170.0,Stand unbekannt
Aufhausen,9375115.0,Stand unbekannt
Bach a.d.Donau,9375116.0,Stand unbekannt
Beratzhausen,9375118.0,Stand unbekannt
Brunn (Oberpfalz),9375122.0,Stand unbekannt
Deuerling,9375127.0,Stand unbekannt
Donaustauf,9375130.0,Stand unbekannt
Hagelstadt,9375143.0,Stand unbekannt
Köfering,9375161.0,Stand unbekannt
Laaber,9375162.0,Stand unbekannt
Lappersdorf,9375165.0,Stand unbekannt
Mötzing,9375171.0,Stand unbekannt
Nittendorf,9375175.0,Stand unbekannt
Obertraubling,9375179.0,Stand unbekannt
Pentling,9375180.0,Stand unbekannt
Pettendorf,9375181.0,Stand unbekannt
Pfakofen,9375182.0,Stand unbekannt
Pfatter,9375183.0,Stand unbekannt
Pielenhofen,9375184.0,Stand unbekannt
Riekofen,9375191.0,Stand unbekannt
Sinzing,9375199.0,Stand unbekannt
Sünching,9375201.0,Stand unbekannt
Tegernheim,9375204.0,Stand unbekannt
Thalmassing,9375205.0,Stand unbekannt
Wolfsegg,9375211.0,Stand unbekannt
Altendorf (Kreis Schwandorf),9376112.0,Stand unbekannt
Dieterskirchen,9376122.0,Stand unbekannt
Fensterbach,9376125.0,Stand unbekannt
Gleiritsch,9376131.0,Stand unbekannt
Guteneck,9376133.0,Stand unbekannt
Maxhütte-Haidhof,9376141.0,Stand unbekannt
Nabburg,9376144.0,Stand unbekannt
Neukirchen-Balbini,9376146.0,Stand unbekannt
Niedermurach,9376148.0,Stand unbekannt
Nittenau,9376149.0,Stand unbekannt
Wernberg-Köblitz,9376150.0,Stand unbekannt
Schmidgaden,9376159.0,Stand unbekannt
Schönsee,9376160.0,Stand unbekannt
Schwarzach b.Nabburg,9376162.0,Stand unbekannt
Schwarzhofen,9376164.0,Stand unbekannt
Stadlern,9376167.0,Stand unbekannt
Stulln,9376169.0,Stand unbekannt
Teunz,9376171.0,Stand unbekannt
Thanstein,9376172.0,Stand unbekannt
Trausnitz,9376173.0,Stand unbekannt
Weiding (Kreis Schwandorf),9376176.0,Stand unbekannt
Winklarn,9376178.0,Stand unbekannt
Bärnau,9377112.0,Stand unbekannt
Erbendorf,9377116.0,Stand unbekannt
Falkenberg (Oberpfalz),9377117.0,Stand unbekannt
Friedenfels,9377118.0,Stand unbekannt
Fuchsmühl,9377119.0,Stand unbekannt
Immenreuth,9377127.0,Stand unbekannt
Kastl (bei Kemnath),9377128.0,Stand unbekannt
Kemnath,9377129.0,Stand unbekannt
Konnersreuth,9377131.0,Stand unbekannt
Krummennaab,9377132.0,Stand unbekannt
Kulmain,9377133.0,Stand unbekannt
Leonberg (Oberpfalz),9377137.0,Stand unbekannt
Mähring,9377139.0,Stand unbekannt
Plößberg,9377146.0,Stand unbekannt
Reuth b.Erbendorf,9377149.0,Stand unbekannt
Tirschenreuth,9377154.0,Stand unbekannt
Waldsassen,9377158.0,Stand unbekannt
Wiesau,9377159.0,Stand unbekannt
Bamberg,9461000.0,Stand unbekannt
Baunach,9471115.0,Stand unbekannt
Bischberg,9471117.0,Stand unbekannt
Burgwindheim,9471122.0,Stand unbekannt
Ebrach,9471128.0,Stand unbekannt
Frensdorf,9471131.0,Stand unbekannt
Gerach (Oberfranken),9471133.0,Stand unbekannt
Gundelsheim (Oberfranken),9471137.0,Stand unbekannt
Heiligenstadt i.OFr.,9471142.0,Stand unbekannt
Hirschaid,9471145.0,Stand unbekannt
Kemmern,9471150.0,Stand unbekannt
Königsfeld (Oberfranken),9471151.0,Stand unbekannt
Lauter,9471152.0,Stand unbekannt
Lisberg,9471154.0,Stand unbekannt
Litzendorf,9471155.0,Stand unbekannt
Memmelsdorf,9471159.0,Stand unbekannt
Oberhaid (Oberfranken),9471165.0,Stand unbekannt
Pettstadt,9471169.0,Stand unbekannt
Pommersfelden,9471172.0,Stand unbekannt
Priesendorf,9471173.0,Stand unbekannt
Reckendorf,9471175.0,Stand unbekannt
Scheßlitz,9471185.0,Stand unbekannt
Stadelhofen,9471189.0,Stand unbekannt
Stegaurach,9471191.0,Stand unbekannt
Strullendorf,9471195.0,Stand unbekannt
Viereth-Trunstadt,9471207.0,Stand unbekannt
Walsdorf (Oberfranken),9471208.0,Stand unbekannt
Wattendorf,9471209.0,Stand unbekannt
Zapfendorf,9471214.0,Stand unbekannt
Ahorntal,9472111.0,Stand unbekannt
Aufseß,9472115.0,Stand unbekannt
Bad Berneck i.Fichtelgebirge,9472116.0,Stand unbekannt
Betzenstein,9472118.0,Stand unbekannt
Bindlach,9472119.0,Stand unbekannt
Creußen,9472127.0,Stand unbekannt
Eckersdorf,9472131.0,Stand unbekannt
Fichtelberg,9472138.0,Stand unbekannt
Gefrees,9472139.0,Stand unbekannt
Gesees,9472140.0,Stand unbekannt
Glashütten (Oberfranken),9472141.0,Stand unbekannt
Goldkronach,9472143.0,Stand unbekannt
Haag,9472146.0,Stand unbekannt
Heinersreuth,9472150.0,Stand unbekannt
Hollfeld,9472154.0,Stand unbekannt
Hummeltal,9472155.0,Stand unbekannt
Mehlmeisel,9472164.0,Stand unbekannt
Mistelbach,9472166.0,Stand unbekannt
Mistelgau,9472167.0,Stand unbekannt
Plankenfels,9472176.0,Stand unbekannt
Plech,9472177.0,Stand unbekannt
Pottenstein,9472179.0,Stand unbekannt
Prebitz,9472180.0,Stand unbekannt
Schnabelwaid,9472184.0,Stand unbekannt
Waischenfeld,9472197.0,Stand unbekannt
Warmensteinach,9472198.0,Stand unbekannt
Weidenberg,9472199.0,Stand unbekannt
Ahorn (Kreis Coburg),9473112.0,Stand unbekannt
Ebersdorf b.Coburg,9473121.0,Stand unbekannt
Großheirath,9473132.0,Stand unbekannt
Grub a.Forst,9473134.0,Stand unbekannt
Itzgrund,9473138.0,Stand unbekannt
Lautertal,9473141.0,Stand unbekannt
Meeder,9473144.0,Stand unbekannt
Niederfüllbach,9473153.0,Stand unbekannt
Rödental,9473159.0,Stand unbekannt
Seßlach,9473165.0,Stand unbekannt
Sonnefeld,9473166.0,Stand unbekannt
Untersiemau,9473170.0,Stand unbekannt
Weidhausen b.Coburg,9473174.0,Stand unbekannt
Weitramsdorf,9473175.0,Stand unbekannt
Dormitz,9474119.0,Stand unbekannt
Ebermannstadt,9474121.0,Stand unbekannt
Effeltrich,9474122.0,Stand unbekannt
Egloffstein,9474124.0,Stand unbekannt
Forchheim,9474126.0,Stand unbekannt
Hausen (bei Forchheim),9474134.0,Stand unbekannt
Hetzles,9474137.0,Stand unbekannt
Kirchehrenbach,9474143.0,Stand unbekannt
Kleinsendelbach,9474144.0,Stand unbekannt
Kunreuth,9474145.0,Stand unbekannt
Langensendelbach,9474146.0,Stand unbekannt
Leutenbach (Oberfranken),9474147.0,Stand unbekannt
Neunkirchen a.Brand,9474154.0,Stand unbekannt
Obertrubach,9474156.0,Stand unbekannt
Pinzberg,9474158.0,Stand unbekannt
Poxdorf,9474160.0,Stand unbekannt
Pretzfeld,9474161.0,Stand unbekannt
Unterleinleiter,9474168.0,Stand unbekannt
Weilersbach,9474171.0,Stand unbekannt
Wiesenthau,9474175.0,Stand unbekannt
Wiesenttal,9474176.0,Stand unbekannt
Bad Steben,9475112.0,Stand unbekannt
Berg (Oberfranken),9475113.0,Stand unbekannt
Döhlau,9475120.0,Stand unbekannt
Feilitzsch,9475123.0,Stand unbekannt
Gattendorf,9475127.0,Stand unbekannt
Geroldsgrün,9475128.0,Stand unbekannt
Helmbrechts,9475136.0,Stand unbekannt
Issigau,9475137.0,Stand unbekannt
Köditz,9475141.0,Stand unbekannt
Konradsreuth,9475142.0,Stand unbekannt
Leupoldsgrün,9475145.0,Stand unbekannt
Lichtenberg,9475146.0,Stand unbekannt
Naila,9475156.0,Stand unbekannt
Regnitzlosau,9475161.0,Stand unbekannt
Schauenstein,9475165.0,Stand unbekannt
Schwarzenbach a.d.Saale,9475168.0,Stand unbekannt
Schwarzenbach a.Wald,9475169.0,Stand unbekannt
Selbitz,9475171.0,Stand unbekannt
Töpen,9475181.0,Stand unbekannt
Trogen,9475182.0,Stand unbekannt
Kronach,9476145.0,Stand unbekannt
Küps,9476146.0,Stand unbekannt
Ludwigsstadt,9476152.0,Stand unbekannt
Mitwitz,9476154.0,Stand unbekannt
Pressig,9476164.0,Stand unbekannt
Schneckenlohe,9476171.0,Stand unbekannt
Steinbach a.Wald,9476175.0,Stand unbekannt
Steinwiesen,9476177.0,Stand unbekannt
Stockheim (Oberfranken),9476178.0,Stand unbekannt
Tettau (Oberfranken),9476179.0,Stand unbekannt
Marktrodach,9476183.0,Stand unbekannt
Wallenfels,9476184.0,Stand unbekannt
Weißenbrunn,9476185.0,Stand unbekannt
Wilhelmsthal,9476189.0,Stand unbekannt
Harsdorf,9477119.0,Stand unbekannt
Himmelkron,9477121.0,Stand unbekannt
Kasendorf,9477124.0,Stand unbekannt
Ködnitz,9477127.0,Stand unbekannt
Mainleus,9477136.0,Stand unbekannt
Marktschorgast,9477139.0,Stand unbekannt
Neudrossenfeld,9477142.0,Stand unbekannt
Neuenmarkt,9477143.0,Stand unbekannt
Presseck,9477148.0,Stand unbekannt
Rugendorf,9477151.0,Stand unbekannt
Stadtsteinach,9477156.0,Stand unbekannt
Thurnau,9477157.0,Stand unbekannt
Wirsberg,9477163.0,Stand unbekannt
Wonsees,9477164.0,Stand unbekannt
Bad Alexandersbad,9479111.0,Stand unbekannt
Hohenberg a.d.Eger,9479127.0,Stand unbekannt
Nagel,9479138.0,Stand unbekannt
Schirnding,9479147.0,Stand unbekannt
Schönwald (Bayern),9479150.0,Stand unbekannt
Tröstau,9479161.0,Stand unbekannt
Ansbach,9561000.0,Stand unbekannt
Arberg,9571113.0,Stand unbekannt
Aurach,9571114.0,Stand unbekannt
Bechhofen (Mittelfranken),9571115.0,Stand unbekannt
Bruckberg (Mittelfranken),9571122.0,Stand unbekannt
Buch a.Wald,9571125.0,Stand unbekannt
Burk,9571128.0,Stand unbekannt
Colmberg,9571130.0,Stand unbekannt
Dentlein a.Forst,9571132.0,Stand unbekannt
Diebach,9571134.0,Stand unbekannt
Dietenhofen,9571135.0,Stand unbekannt
Dinkelsbühl,9571136.0,Stand unbekannt
Dombühl,9571137.0,Stand unbekannt
Dürrwangen,9571139.0,Stand unbekannt
Ehingen (Mittelfranken),9571141.0,Stand unbekannt
Feuchtwangen,9571145.0,Stand unbekannt
Flachslanden,9571146.0,Stand unbekannt
Gebsattel,9571152.0,Stand unbekannt
Gerolfingen,9571154.0,Stand unbekannt
Geslau,9571155.0,Stand unbekannt
Insingen,9571169.0,Stand unbekannt
Langfurth,9571170.0,Stand unbekannt
Lehrberg,9571171.0,Stand unbekannt
Leutershausen,9571174.0,Stand unbekannt
Lichtenau (Mittelfranken),9571175.0,Stand unbekannt
Merkendorf,9571177.0,Stand unbekannt
Mitteleschenbach,9571178.0,Stand unbekannt
Mönchsroth,9571179.0,Stand unbekannt
Oberdachstetten,9571183.0,Stand unbekannt
Ornbau,9571189.0,Stand unbekannt
Petersaurach,9571190.0,Stand unbekannt
Röckingen,9571192.0,Stand unbekannt
Rügland,9571194.0,Stand unbekannt
Sachsen b.Ansbach,9571196.0,Stand unbekannt
Schillingsfürst,9571198.0,Stand unbekannt
Schnelldorf,9571199.0,Stand unbekannt
Schopfloch (Mittelfranken),9571200.0,Stand unbekannt
Unterschwaningen,9571208.0,Stand unbekannt
Wassertrüdingen,9571214.0,Stand unbekannt
Weidenbach (Mittelfranken),9571216.0,Stand unbekannt
Weihenzell,9571217.0,Stand unbekannt
Weiltingen,9571218.0,Stand unbekannt
Wettringen (Mittelfranken),9571222.0,Stand unbekannt
Wieseth,9571223.0,Stand unbekannt
Wilburgstetten,9571224.0,Stand unbekannt
Windelsbach,9571225.0,Stand unbekannt
Windsbach,9571226.0,Stand unbekannt
Wittelshofen,9571227.0,Stand unbekannt
Wörnitz,9571228.0,Stand unbekannt
Wolframs-Eschenbach,9571229.0,Stand unbekannt
Aurachtal,9572114.0,Stand unbekannt
Baiersdorf,9572115.0,Stand unbekannt
Buckenhof,9572120.0,Stand unbekannt
Eckental,9572121.0,Stand unbekannt
Gremsdorf,9572126.0,Stand unbekannt
Großenseebach,9572127.0,Stand unbekannt
Heßdorf,9572133.0,Stand unbekannt
Kalchreuth,9572137.0,Stand unbekannt
Lonnerstadt,9572139.0,Stand unbekannt
Marloffstein,9572141.0,Stand unbekannt
Möhrendorf,9572142.0,Stand unbekannt
Mühlhausen (Mittelfranken),9572143.0,Stand unbekannt
Oberreichenbach (Mittelfranken),9572147.0,Stand unbekannt
Röttenbach (bei Erlangen),9572149.0,Stand unbekannt
Spardorf,9572154.0,Stand unbekannt
Uttenreuth,9572158.0,Stand unbekannt
Vestenbergsgreuth,9572159.0,Stand unbekannt
Wachenroth,9572160.0,Stand unbekannt
Ammerndorf,9573111.0,Stand unbekannt
Großhabersdorf,9573115.0,Stand unbekannt
Oberasbach,9573122.0,Stand unbekannt
Obermichelbach,9573123.0,Stand unbekannt
Puschendorf,9573124.0,Stand unbekannt
Roßtal,9573125.0,Stand unbekannt
Seukendorf,9573126.0,Stand unbekannt
Tuchenbach,9573129.0,Stand unbekannt
Veitsbronn,9573130.0,Stand unbekannt
Wilhermsdorf,9573133.0,Stand unbekannt
Alfeld,9574111.0,Stand unbekannt
Engelthal,9574120.0,Stand unbekannt
Happurg,9574128.0,Stand unbekannt
Hartenstein,9574129.0,Stand unbekannt
Henfenfeld,9574131.0,Stand unbekannt
Kirchensittenbach,9574135.0,Stand unbekannt
Neunkirchen a.Sand,9574141.0,Stand unbekannt
Offenhausen,9574145.0,Stand unbekannt
Pommelsbrunn,9574147.0,Stand unbekannt
Reichenschwand,9574150.0,Stand unbekannt
Velden (Pegnitz),9574160.0,Stand unbekannt
Vorra,9574161.0,Stand unbekannt
Bad Windsheim,9575112.0,Stand unbekannt
Burgbernheim,9575115.0,Stand unbekannt
Burghaslach,9575116.0,Stand unbekannt
Dachsbach,9575117.0,Stand unbekannt
Gallmersgarten,9575124.0,Stand unbekannt
Gerhardshofen,9575125.0,Stand unbekannt
Gollhofen,9575127.0,Stand unbekannt
Hagenbüchach,9575129.0,Stand unbekannt
Hemmersheim,9575130.0,Stand unbekannt
Illesheim,9575133.0,Stand unbekannt
Ipsheim,9575135.0,Stand unbekannt
Marktbergel,9575143.0,Stand unbekannt
Markt Erlbach,9575145.0,Stand unbekannt
Markt Nordheim,9575146.0,Stand unbekannt
Neuhof a.d.Zenn,9575152.0,Stand unbekannt
Oberickelsheim,9575155.0,Stand unbekannt
Obernzenn,9575156.0,Stand unbekannt
Simmershofen,9575163.0,Stand unbekannt
Trautskirchen,9575166.0,Stand unbekannt
Uehlfeld,9575167.0,Stand unbekannt
Weigenheim,9575179.0,Stand unbekannt
Wilhelmsdorf (Mittelfranken),9575181.0,Stand unbekannt
Abenberg,9576111.0,Stand unbekannt
Roth,9576143.0,Stand unbekannt
Absberg,9577111.0,Stand unbekannt
Muhr a.See,9577114.0,Stand unbekannt
Ellingen,9577125.0,Stand unbekannt
Ettenstatt,9577127.0,Stand unbekannt
Gnotzheim,9577133.0,Stand unbekannt
Haundorf,9577138.0,Stand unbekannt
Heidenheim,9577140.0,Stand unbekannt
Langenaltheim,9577148.0,Stand unbekannt
Pappenheim,9577158.0,Stand unbekannt
Pfofeld,9577159.0,Stand unbekannt
Pleinfeld,9577161.0,Stand unbekannt
Polsingen,9577162.0,Stand unbekannt
Theilenhofen,9577172.0,Stand unbekannt
Westheim,9577179.0,Stand unbekannt
Bessenbach,9671112.0,Stand unbekannt
Blankenbach,9671113.0,Stand unbekannt
Geiselbach,9671119.0,Stand unbekannt
Glattbach,9671120.0,Stand unbekannt
Großostheim,9671122.0,Stand unbekannt
Haibach (Unterfranken),9671124.0,Stand unbekannt
Heigenbrücken,9671126.0,Stand unbekannt
Heimbuchenthal,9671127.0,Stand unbekannt
Heinrichsthal,9671128.0,Stand unbekannt
Johannesberg,9671133.0,Stand unbekannt
Kleinkahl,9671135.0,Stand unbekannt
Krombach,9671138.0,Stand unbekannt
Laufach,9671139.0,Stand unbekannt
Mespelbrunn,9671141.0,Stand unbekannt
Mömbris,9671143.0,Stand unbekannt
Rothenbuch,9671148.0,Stand unbekannt
